model,fpr,tpr,auc
LogisticRegression,0.0,0.0,0.9471490166049242
LogisticRegression,0.0,0.0002911208151382824,0.9471490166049242
LogisticRegression,0.0,0.005240174672489083,0.9471490166049242
LogisticRegression,0.000315955766192733,0.005240174672489083,0.9471490166049242
LogisticRegression,0.000315955766192733,0.007860262008733625,0.9471490166049242
LogisticRegression,0.000631911532385466,0.007860262008733625,0.9471490166049242
LogisticRegression,0.000631911532385466,0.013100436681222707,0.9471490166049242
LogisticRegression,0.0009478672985781991,0.013100436681222707,0.9471490166049242
LogisticRegression,0.0009478672985781991,0.013973799126637555,0.9471490166049242
LogisticRegression,0.001263823064770932,0.013973799126637555,0.9471490166049242
LogisticRegression,0.001263823064770932,0.02678311499272198,0.9471490166049242
LogisticRegression,0.001579778830963665,0.02678311499272198,0.9471490166049242
LogisticRegression,0.001579778830963665,0.032314410480349345,0.9471490166049242
LogisticRegression,0.0018957345971563982,0.032314410480349345,0.9471490166049242
LogisticRegression,0.0018957345971563982,0.0346433770014556,0.9471490166049242
LogisticRegression,0.002527646129541864,0.0346433770014556,0.9471490166049242
LogisticRegression,0.002527646129541864,0.043668122270742356,0.9471490166049242
LogisticRegression,0.002843601895734597,0.043668122270742356,0.9471490166049242
LogisticRegression,0.002843601895734597,0.04395924308588064,0.9471490166049242
LogisticRegression,0.0034755134281200632,0.04395924308588064,0.9471490166049242
LogisticRegression,0.0034755134281200632,0.049490538573508006,0.9471490166049242
LogisticRegression,0.0037914691943127963,0.049490538573508006,0.9471490166049242
LogisticRegression,0.0037914691943127963,0.05589519650655022,0.9471490166049242
LogisticRegression,0.004107424960505529,0.05589519650655022,0.9471490166049242
LogisticRegression,0.004107424960505529,0.05997088791848617,0.9471490166049242
LogisticRegression,0.0044233807266982625,0.05997088791848617,0.9471490166049242
LogisticRegression,0.0044233807266982625,0.06754002911208151,0.9471490166049242
LogisticRegression,0.004739336492890996,0.06754002911208151,0.9471490166049242
LogisticRegression,0.004739336492890996,0.06841339155749636,0.9471490166049242
LogisticRegression,0.005055292259083728,0.06841339155749636,0.9471490166049242
LogisticRegression,0.005055292259083728,0.07976710334788938,0.9471490166049242
LogisticRegression,0.005371248025276461,0.07976710334788938,0.9471490166049242
LogisticRegression,0.005371248025276461,0.08413391557496361,0.9471490166049242
LogisticRegression,0.005687203791469194,0.08413391557496361,0.9471490166049242
LogisticRegression,0.005687203791469194,0.0925764192139738,0.9471490166049242
LogisticRegression,0.006003159557661927,0.0925764192139738,0.9471490166049242
LogisticRegression,0.006003159557661927,0.09577874818049491,0.9471490166049242
LogisticRegression,0.00631911532385466,0.09577874818049491,0.9471490166049242
LogisticRegression,0.00631911532385466,0.11353711790393013,0.9471490166049242
LogisticRegression,0.006635071090047393,0.11353711790393013,0.9471490166049242
LogisticRegression,0.006635071090047393,0.12518195050946143,0.9471490166049242
LogisticRegression,0.0072669826224328595,0.12518195050946143,0.9471490166049242
LogisticRegression,0.0072669826224328595,0.1324599708879185,0.9471490166049242
LogisticRegression,0.007582938388625593,0.1324599708879185,0.9471490166049242
LogisticRegression,0.007582938388625593,0.14992721979621543,0.9471490166049242
LogisticRegression,0.007898894154818325,0.14992721979621543,0.9471490166049242
LogisticRegression,0.007898894154818325,0.15167394468704512,0.9471490166049242
LogisticRegression,0.008214849921011059,0.15167394468704512,0.9471490166049242
LogisticRegression,0.008214849921011059,0.15836972343522562,0.9471490166049242
LogisticRegression,0.008530805687203791,0.15836972343522562,0.9471490166049242
LogisticRegression,0.008530805687203791,0.16419213973799127,0.9471490166049242
